,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040
Maryland[4],"319,728","341,548","380,546","407,350","447,040","470,019","583,034","687,049","780,894","934,943","1,042,390","1,188,044","1,295,346","1,449,661","1,631,526","1,821,244","2,343,001","3,100,689","3,922,399","4,216,975","4,781,468","5,296,486","5,773,552","6,225,156","6,705,335","7,068,866"
Massachusetts,"378,787","422,845","472,040","523,287","610,408","737,699","994,514","1,231,066","1,457,351","1,783,085","2,238,943","2,805,346","3,366,416","3,852,356","4,249,614","4,316,721","4,690,514","5,148,578","5,689,170","5,737,037","6,016,425","6,349,097","6,547,629","7,025,717","7,531,133","7,901,128"
Michigan,,,,,,"212,267","397,654","749,113","1,184,059","1,636,937","2,093,889","2,420,982","2,810,173","3,668,412","4,842,325","5,256,106","6,371,766","7,823,194","8,875,083","9,262,078","9,295,297","9,938,444","9,883,640","9,957,936","10,022,703","9,873,234"
Minnesota,,,,,,,,"172,023","439,706","780,773","1,310,283","1,751,394","2,075,708","2,387,125","2,563,953","2,792,300","2,982,483","3,413,864","3,804,971","4,075,970","4,375,099","4,919,479","5,303,925","5,663,175","6,040,677","6,306,239"
Mississippi,,,,"75,448","136,621","375,651","606,526","791,305","827,922","1,131,597","1,289,600","1,551,270","1,797,114","1,790,618","2,009,821","2,183,796","2,178,914","2,178,141","2,216,912","2,520,638","2,573,216","2,844,658","2,967,297","3,015,167","3,060,728","3,040,865"
Missouri,,,,,"140,455","383,702","682,044","1,182,012","1,721,295","2,168,380","2,679,184","3,106,665","3,293,335","3,404,055","3,629,367","3,784,664","3,954,653","4,319,813","4,676,501","4,916,686","5,117,073","5,595,211","5,988,927","6,170,685","6,351,566","6,398,634"
Montana,,,,,,,,,,,"142,924","243,329","376,053","548,889","537,606","559,456","591,024","674,767","694,409","786,690","799,065","902,195","989,415","1,073,985","1,164,612","1,236,013"
Nebraska,,,,,,,,,"122,993","452,402","1,062,656","1,066,300","1,192,214","1,296,372","1,377,963","1,315,834","1,325,510","1,411,330","1,483,493","1,569,825","1,578,385","1,711,263","1,826,341","1,961,686","2,104,942","2,210,599"
Nevada,,,,,,,,,"42,491","62,266","47,355","42,335","81,875","77,407","91,058","110,247","160,083","285,278","488,738","800,493","1,201,833","1,998,257","2,700,551","3,074,545","3,496,813","3,892,449"
New Hampshire,"141,885","183,858","214,360","244,161","269,328","284,574","317,976","326,073","318,300","346,991","376,530","411,588","430,572","443,083","465,293","491,524","533,242","606,921","737,681","920,610","1,109,252","1,235,786","1,316,470","1,343,530","1,369,768","1,366,803"
